,ipo,compare,cooccurrences,expected_cooccurrences,prop_diff,log_prop_diff,correlation
846,CRTO,AAN,0.0,0.00436681222707,0.916317991632,0.650405632183,0.365780535496
848,CRTO,AAPL,0.0,0.0467872738615,0.362515937102,0.309332944442,-0.102177415839
849,CRTO,ABTL,0.0,0.000623830318153,0.987600743955,0.686928255044,0.24101723085
854,CRTO,ADBE,0.0,0.0149719276357,0.73955507325,0.5536293755,0.234758688674
855,CRTO,ADI,0.0,0.00124766063631,0.975354282193,0.680747765655,0.483486743028
856,CRTO,ADP,0.0,0.000623830318153,0.987600743955,0.686928255044,0.280179120404
860,CRTO,AL,0.0,0.00873362445415,0.839357429719,0.609416287649,0.102909928017
863,CRTO,AMAT,0.0,0.00561447286338,0.89367985824,0.638521951036,-0.00549263345226
867,CRTO,AMD,0.0,0.0093574547723,0.828864803195,0.603695448248,-0.0970963197414
870,CRTO,AMSWA,0.0,0.0249532127261,0.600599101348,0.470377997504,0.106532372979
873,CRTO,ARIS,0.0,0.00124766063631,0.975354282193,0.680747765655,0.107724112394
875,CRTO,ASGN,0.0,0.0149719276357,0.73955507325,0.5536293755,0.41101917216
878,CRTO,ASX,0.0,0.00249532127261,0.951308581862,0.668500215132,0.0812760077449
884,CRTO,AVGO,0.0,0.000623830318153,0.987600743955,0.686928255044,0.339591913481
885,CRTO,AVID,0.0,0.0318153462258,0.517274017984,0.416915315553,0.398853588552
886,CRTO,AWRE,0.0,0.0311915159077,0.524488825487,0.421659157467,-0.139555879191
887,CRTO,AXTI,0.0,0.000623830318153,0.987600743955,0.686928255044,0.0320783097676
890,CRTO,AZPN,0.0,0.008109794136,0.849971148298,0.615170043454,0.165406031981
891,CRTO,BBOX,0.0,0.0137242669994,0.758639605047,0.564540558491,-0.0462785651549
892,CRTO,BBSI,0.0,0.00187149095446,0.963257807716,0.674605240199,-0.151269750004
894,CRTO,BCOV,0.0,0.00187149095446,0.963257807716,0.674605240199,-0.0700530847821
895,CRTO,BHE,0.0,0.00436681222707,0.916317991632,0.650405632183,-0.0463110129317
898,CRTO,BLKB,0.0,0.000623830318153,0.987600743955,0.686928255044,0.320260190754
903,CRTO,BV,1.0,0.00124766063631,10.8521256932,2.47250723488,-0.133894657239
904,CRTO,CA,0.0,0.00124766063631,0.975354282193,0.680747765655,0.366513270214
906,CRTO,CAI,0.0,0.0106051154086,0.80823463057,0.592351027095,0.0283172616868
913,CRTO,CCRN,0.0,0.00311915159077,0.939503932244,0.662432235348,0.391543384403
915,CRTO,CDNS,0.0,0.00374298190892,0.927841250752,0.656400853977,0.243805082855
918,CRTO,CHKP,1.0,0.0511540860886,6.93891869583,2.07177708158,0.534916340884
921,CRTO,CLGX,0.0,0.00124766063631,0.975354282193,0.680747765655,0.581718842475
927,CRTO,CRAY,0.0,0.000623830318153,0.987600743955,0.686928255044,0.0824103697962
928,CRTO,CREE,0.0,0.000623830318153,0.987600743955,0.686928255044,-0.234476273515
929,CRTO,CRM,0.0,0.0280723643169,0.561617145641,0.445721916151,0.490981358293
934,CRTO,CSCO,0.0,0.0474111041797,0.356749894202,0.305092055983,0.366100385475
936,CRTO,CSIQ,0.0,0.00311915159077,0.939503932244,0.662432235348,0.0327935109664
