,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8,ipo
0,0,3019,3019,3019,WMT,"Wal-Mart Stores, Inc",66.65,2.0483e+11,,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/wmt,,0
1,1,3020,3020,3020,DIS,Walt Disney Company,107.12,1.7048e+11,,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dis,,0
2,2,1442,1442,1442,HD,Home Depot Inc,138.07,1.6819e+11,,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/hd,,0
3,3,1815,1815,1815,MCD,McDonald's Corporation,121.38,1.008e+11,,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/mcd,,0
4,4,2807,2807,2807,TWX,Time Warner Inc,96.77,74680000000.0,,Consumer Services,Television Services,http://www.nasdaq.com/symbol/twx,,0
5,5,1741,1741,1741,LOW,Lowe's Companies Inc,72.58,63130000000.0,,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/low,,0
6,6,2555,2555,2555,SPG,Simon Property Group Inc,185.0,58130000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/spg,,0
7,7,2811,2811,2811,TJX,TJX Companies Inc,74.49,48560000000.0,,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/tjx,,0
8,8,151,151,151,AMT,American Tower Corporation,104.78,44730000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amt,,0
9,9,1684,1684,1684,LVS,Las Vegas Sands Corp,55.47,44090000000.0,2004.0,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs,,0
10,10,1590,1590,1590,JCI,Johnson Controls International,43.24,40500000000.0,,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jci,,0
11,11,577,577,577,CUK,Carnival Corporation,52.63,38210000000.0,,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/cuk,,0
12,12,2324,2324,2324,PSA,Public Storage,220.25,38200000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psa,,0
13,13,2408,2408,2408,RELX,RELX PLC,18.09,37180000000.0,2015.0,Consumer Services,Publishing,http://www.nasdaq.com/symbol/relx,,0
14,14,2704,2704,2704,TGT,Target Corporation,63.85,35860000000.0,,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/tgt,,0
15,15,504,504,504,BAM,Brookfield Asset Management Inc,34.78,34350000000.0,,Consumer Services,Building operators,http://www.nasdaq.com/symbol/bam,,0
16,16,2407,2407,2407,RENX,RELX NV,16.65,34220000000.0,2015.0,Consumer Services,Publishing,http://www.nasdaq.com/symbol/renx,,0
17,17,2799,2799,2799,TRI,Thomson Reuters Corp,44.89,32730000000.0,,Consumer Services,Publishing,http://www.nasdaq.com/symbol/tri,,0
18,18,1670,1670,1670,KR,Kroger Company,33.53,31460000000.0,,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/kr,,0
19,19,817,817,817,CCI,Crown Castle International Corp,87.06,31390000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cci,,0
20,20,576,576,576,CCL,Carnival Corp,53.77,28820000000.0,1987.0,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/ccl,,0
21,21,2300,2300,2300,PLD,Prologis Inc,52.83,27930000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pld,,0
22,22,593,593,593,CBS,CBS Corp,63.26,27180000000.0,,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cbs,,0
23,23,2545,2545,2545,SHW,Sherwin-Williams Company,284.0,26390000000.0,,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/shw,,0
24,24,3057,3057,3057,HCN,Welltower Inc,67.68,24540000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hcn,,0
25,25,288,288,288,AVB,AvalonBay Communities Inc,176.9,24290000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/avb,,0
26,26,3141,3141,3141,YUM,Yum! Brands Inc,64.41,23640000000.0,,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/yum,,0
27,27,1095,1095,1095,EQR,Equity Residential,63.02,23040000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqr,,0
28,28,3097,3097,3097,WY,Weyerhaeuser Company,30.43,22760000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wy,,0
29,29,1280,1280,1280,GGP,General Growth Properties Inc,25.62,22690000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ggp,,0
30,30,2961,2961,2961,VTR,Ventas Inc,61.93,21930000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/vtr,,0
