,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8,ipo
0,0,2152,2152,2152,ORCL,Oracle Corporation,39.68,1.6278e+11,1986.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/orcl,,0
1,1,1505,1505,1505,IBM,IBM Corporation,171.03,1.6262e+11,,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm,,0
2,2,2697,2697,2697,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,30.33,1.5729e+11,1997.0,Technology,Semiconductors,http://www.nasdaq.com/symbol/tsm,,0
3,3,2495,2495,2495,SAP,SAP SE,89.3,1.0971e+11,,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sap,,0
4,4,2041,2041,2041,DCM,NTT Docomo,24.07,89550000000.0,,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/dcm,,0
5,5,2483,2483,2483,CRM,Salesforce.com,76.16,53060000000.0,2004.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/crm,,0
6,6,1477,1477,1477,ITW,Illinois Tool Works,124.05,43540000000.0,,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itw,,0
7,7,1425,1425,1425,HPE,Hewlett Packard Enterprise Company,22.57,37570000000.0,2015.0,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpe,,0
8,8,2985,2985,2985,VMW,Vmware,82.05,33770000000.0,2007.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vmw,,0
9,9,1484,1484,1484,INFY,Infosys,14.09,32200000000.0,,Technology,EDP Services,http://www.nasdaq.com/symbol/infy,,0
10,10,983,983,983,ETN,Eaton Corporation,67.74,30600000000.0,,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/etn,,0
11,11,2017,2017,2017,NOK,Nokia,4.68,27310000000.0,1994.0,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/nok,,0
12,12,1454,1454,1454,HPQ,HP Inc,14.67,25020000000.0,,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/hpq,,0
13,13,3110,3110,3110,WIT,Wipro,9.68,23390000000.0,,Technology,EDP Services,http://www.nasdaq.com/symbol/wit,,0
14,14,2140,2140,2140,OMC,Omnicom Group,84.94,20040000000.0,,Technology,Advertising,http://www.nasdaq.com/symbol/omc,,0
15,15,1673,1673,1673,KYO,Kyocera Corporation,50.35,18510000000.0,,Technology,Semiconductors,http://www.nasdaq.com/symbol/kyo,,0
16,16,3114,3114,3114,WDAY,"Workday, Inc",82.08,16500000000.0,2012.0,Technology,EDP Services,http://www.nasdaq.com/symbol/wday,,0
17,17,2541,2541,2541,NOW,ServiceNow,83.25,13820000000.0,2012.0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/now,,0
18,18,1907,1907,1907,MSI,Motorola Solutions,82.44,13680000000.0,,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/msi,,0
