,Symbol,Name,MarketCap,Sector,Industry
0,AAPL,Apple Inc.,6.7694381e+11,Technology,Computer Manufacturing
1,GOOGL,Alphabet Inc.,5.6356970532e+11,Technology,"Computer Software: Programming, Data Processing"
2,GOOG,Alphabet Inc.,5.48423699074e+11,Technology,"Computer Software: Programming, Data Processing"
3,MSFT,Microsoft Corporation,4.91316345956e+11,Technology,Computer Software: Prepackaged Software
4,AMZN,"Amazon.com, Inc.",3.95504858748e+11,Consumer Services,Catalog/Specialty Distribution
5,FB,"Facebook, Inc.",3.83991173094e+11,Technology,"Computer Software: Programming, Data Processing"
6,XOM,Exxon Mobil Corporation,3.43926744458e+11,Energy,Integrated oil Companies
7,JNJ,Johnson & Johnson,3.08045807561e+11,Health Care,Major Pharmaceuticals
8,JPM,J P Morgan Chase & Co,3.03973550416e+11,Finance,Major Banks
9,WFC,Wells Fargo & Company,2.8079696224e+11,Finance,Major Banks
10,GE,General Electric Company,2.626493191e+11,Energy,Consumer Electronics/Appliances
11,T,AT&T Inc.,2.5829046e+11,Public Utilities,Telecommunications Equipment
12,BABA,Alibaba Group Holding Limited,2.53925e+11,Miscellaneous,Business Services
13,CHL,China Mobile (Hong Kong) Ltd.,2.33051946311e+11,Public Utilities,Telecommunications Equipment
14,BAC,Bank of America Corporation,2.3130451791e+11,Finance,Major Banks
15,PG,Procter & Gamble Company (The),2.23257155623e+11,Basic Industries,Package Goods/Cosmetics
16,CVX,Chevron Corporation,2.0954239452e+11,Energy,Integrated oil Companies
17,WMT,"Wal-Mart Stores, Inc.",2.03537393966e+11,Consumer Services,Department/Specialty Retail Stores
18,BUD,Anheuser-Busch Inbev SA,2.01781759977e+11,Consumer Non-Durables,Beverages (Production/Distribution)
19,VZ,Verizon Communications Inc.,1.97268316937e+11,Public Utilities,Telecommunications Equipment
20,TM,Toyota Motor Corp Ltd Ord,1.92368795464e+11,Capital Goods,Auto Manufacturing
21,PFE,"Pfizer, Inc.",1.9218480703e+11,Health Care,Major Pharmaceuticals
22,CMCSA,Comcast Corporation,1.8092205731e+11,Consumer Services,Television Services
23,KO,Coca-Cola Company (The),1.77952705504e+11,Consumer Non-Durables,Beverages (Production/Distribution)
24,DIS,Walt Disney Company (The),1.77129607297e+11,Consumer Services,Television Services
25,NVS,Novartis AG,1.7440921e+11,Health Care,Major Pharmaceuticals
26,ICE,Intercontinental Exchange Inc.,1.7378849634e+11,Finance,Investment Bankers/Brokers/Service
27,INTC,Intel Corporation,1.7306828e+11,Technology,Semiconductors
28,MRK,"Merck & Company, Inc.",1.71218239806e+11,Health Care,Major Pharmaceuticals
29,HSBC,HSBC Holdings plc,1.69520028e+11,Finance,Savings Institutions
30,V,Visa Inc.,1.68347107357e+11,Miscellaneous,Business Services
31,HD,"Home Depot, Inc. (The)",1.67424043717e+11,Consumer Services,RETAIL: Building Materials
32,IBM,International Business Machines Corporation,1.65724439694e+11,Technology,Computer Manufacturing
33,ORCL,Oracle Corporation,1.6343774352e+11,Technology,Computer Software: Prepackaged Software
34,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1.6118324208e+11,Technology,Semiconductors
35,C,Citigroup Inc.,1.597273804e+11,Finance,Major Banks
36,UNH,UnitedHealth Group Incorporated,1.54870017156e+11,Health Care,Medical Specialities
37,CSCO,"Cisco Systems, Inc.",1.53102647487e+11,Technology,Computer Communications Equipment
38,PM,Philip Morris International Inc,1.48852021946e+11,Consumer Non-Durables,Farming/Seeds/Milling
39,PEP,"Pepsico, Inc.",1.47735203191e+11,Consumer Non-Durables,Beverages (Production/Distribution)
40,PTR,PetroChina Company Limited,1.440009228e+11,Energy,Oil & Gas Production
41,MO,Altria Group,1.39229827843e+11,Consumer Non-Durables,Farming/Seeds/Milling
42,UL,Unilever PLC,1.24352983748e+11,Basic Industries,Package Goods/Cosmetics
43,UN,Unilever NV,1.22689297514e+11,Basic Industries,Package Goods/Cosmetics
44,TOT,Total S.A.,1.205169636e+11,Energy,Oil & Gas Production
45,AMGN,Amgen Inc.,1.18782101264e+11,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
46,MA,Mastercard Incorporated,1.164328305e+11,Miscellaneous,Business Services
47,BP,BP p.l.c.,1.13470012422e+11,Energy,Integrated oil Companies
48,SAP,SAP SE,1.11437618885e+11,Technology,Computer Software: Prepackaged Software
49,BHP,BHP Billiton Limited,1.1020118128e+11,Basic Industries,Precious Metals
50,KHC,The Kraft Heinz Company,1.07618860062e+11,Consumer Non-Durables,Packaged Foods
51,RY,Royal Bank Of Canada,1.06599943967e+11,Finance,Commercial Banks
52,SLB,Schlumberger N.V.,1.06067732641e+11,Energy,Oilfield Services/Equipment
53,SNY,Sanofi,1.05233763095e+11,Health Care,Major Pharmaceuticals
54,MMM,3M Company,1.04528542117e+11,Health Care,Medical/Dental Instruments
55,MDT,Medtronic plc,1.0435159556e+11,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
56,BA,Boeing Company (The),1.01196692951e+11,Capital Goods,Aerospace
57,RIO,Rio Tinto Plc,1.0101312e+11,Basic Industries,Precious Metals
58,MCD,McDonald&#39;s Corporation,1.00206110817e+11,Consumer Services,Restaurants
59,ABBV,AbbVie Inc.,98952278840.7,Health Care,Major Pharmaceuticals
60,BBL,BHP Billiton plc,98066011353.8,Energy,Coal Mining
61,SNP,China Petroleum & Chemical Corporation,96687467986.6,Energy,Integrated oil Companies
62,GSK,GlaxoSmithKline PLC,96132452000.0,Health Care,Major Pharmaceuticals
63,TD,Toronto Dominion Bank (The),95990035543.9,Finance,Commercial Banks
64,GILD,"Gilead Sciences, Inc.",95937151090.2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
65,NVO,Novo Nordisk A/S,95394000000.0,Health Care,Major Pharmaceuticals
66,UPS,"United Parcel Service, Inc.",91934253869.9,Transportation,Trucking Freight/Courier Services
67,GS,"Goldman Sachs Group, Inc. (The)",91725744885.4,Finance,Investment Bankers/Brokers/Service
68,CELG,Celgene Corporation,91016642700.2,Health Care,Major Pharmaceuticals
69,MTU,Mitsubishi UFJ Financial Group Inc,90397282140.0,Finance,Commercial Banks
70,USB,U.S. Bancorp,90133838166.2,Finance,Major Banks
71,HON,Honeywell International Inc.,89930715662.0,Capital Goods,Auto Parts:O.E.M.
72,DCM,"NTT DOCOMO, Inc",89100122817.5,Technology,Radio And Television Broadcasting And Communications Equipment
73,UTX,United Technologies Corporation,89076027219.7,Capital Goods,Aerospace
74,NTT,Nippon Telegraph and Telephone Corporation,88898366881.8,Public Utilities,Telecommunications Equipment
75,UNP,Union Pacific Corporation,88756908926.4,Transportation,Railroads
76,CHTR,"Charter Communications, Inc.",87857280326.9,Consumer Services,Television Services
77,NKE,"Nike, Inc.",87720377432.6,Consumer Non-Durables,Shoe Manufacturing
78,WBA,"Walgreens Boots Alliance, Inc.",87475356253.1,Health Care,Medical/Nursing Services
79,ABEV,Ambev S.A.,86132530200.0,Consumer Non-Durables,Beverages (Production/Distribution)
80,AGN,Allergan plc.,85984038274.7,Health Care,Major Pharmaceuticals
81,LLY,Eli Lilly and Company,85666382648.0,Health Care,Major Pharmaceuticals
82,RAI,Reynolds American Inc,85476012661.6,Consumer Non-Durables,Farming/Seeds/Milling
83,CVS,CVS Health Corporation,83150262396.8,Health Care,Medical/Nursing Services
84,BMY,Bristol-Myers Squibb Company,82374924038.3,Health Care,Major Pharmaceuticals
85,WBK,Westpac Banking Corporation,81470272191.6,Finance,Commercial Banks
86,SAN,"Banco Santander, S.A.",81410538145.6,Finance,Commercial Banks
87,AVGO,Broadcom Limited,81268316046.5,Technology,Semiconductors
88,MS,Morgan Stanley,79969469040.3,Finance,Investment Bankers/Brokers/Service
89,QCOM,QUALCOMM Incorporated,78504731116.6,Technology,Radio And Television Broadcasting And Communications Equipment
90,SBUX,Starbucks Corporation,78446060000.0,Consumer Services,Restaurants
91,PCLN,The Priceline Group Inc. ,77733684552.5,Miscellaneous,Business Services
92,BSBR,Banco Santander Brasil SA,77624478360.0,Finance,Commercial Banks
93,LFC,China Life Insurance Company Limited,77614879930.0,Finance,Life Insurance
94,DEO,Diageo plc,77019374126.6,Consumer Non-Durables,Beverages (Production/Distribution)
95,TXN,Texas Instruments Incorporated,76230776474.6,Technology,Semiconductors
96,TWX,Time Warner Inc.,74638872456.7,Consumer Services,Television Services
97,DOW,Dow Chemical Company (The),73456545309.3,Basic Industries,Major Chemicals
98,ABT,Abbott Laboratories,73070046000.0,Health Care,Major Pharmaceuticals
99,ACN,Accenture plc,72901686709.9,Miscellaneous,Business Services
100,LMT,Lockheed Martin Corporation,72705138118.6,Capital Goods,Military/Government/Technical
101,BNS,Bank of Nova Scotia (The),72182095515.4,Finance,Major Banks
102,COST,Costco Wholesale Corporation,71095442079.8,Consumer Services,Department/Specialty Retail Stores
103,AZN,Astrazeneca PLC,70232800000.0,Health Care,Major Pharmaceuticals
104,AXP,American Express Company,69391040000.0,Finance,Finance: Consumer Services
105,MDLZ,"Mondelez International, Inc.",67784229820.2,Consumer Non-Durables,Packaged Foods
106,PBR,Petroleo Brasileiro S.A.- Petrobras,66722601796.9,Energy,Oil & Gas Production
107,DD,E.I. du Pont de Nemours and Company,66365568280.0,Basic Industries,Major Chemicals
108,AIG,"American International Group, Inc.",66013974098.1,Finance,Property-Casualty Insurers
109,LOW,"Lowe&#39;s Companies, Inc.",62933441447.2,Consumer Services,RETAIL: Building Materials
110,NVDA,NVIDIA Corporation,61419050000.0,Technology,Semiconductors
111,BIIB,Biogen Inc.,61288554989.5,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
112,BLK,"BlackRock, Inc.",61043759989.0,Finance,Investment Bankers/Brokers/Service
113,TMO,Thermo Fisher Scientific Inc,60415157911.5,Capital Goods,Industrial Machinery/Components
114,NFLX,"Netflix, Inc.",60415036337.9,Consumer Services,Consumer Electronics/Video Chains
115,COP,ConocoPhillips,60092829336.5,Energy,Integrated oil Companies
